"id","name","label","questionaireID","created_at","updated_at"
7,"ด้านอารมณ์","อารมณ์",36,"2016-05-28 07:47:40","2016-05-28 11:53:49"
9,"ด้านความประพฤติ/เกเร","เกเร",36,"2016-05-28 07:48:18","2016-05-28 11:53:45"
10,"ด้านพฤติกรรมสมาธิสั้น","สมาธิสั้น",36,"2016-05-28 07:48:51","2016-05-28 11:53:42"
11,"ด้านความสัมพันธ์กับเพื่อน","เพื่อน",36,"2016-05-28 07:49:12","2016-05-28 11:53:37"
12,"ด้านสัมพันธภาพทางสังคม","สังคม",36,"2016-05-28 07:49:23","2016-05-28 11:53:32"
13,"ด้านอารมณ์","อารมณ์",37,"2016-05-28 07:47:40","2016-05-28 11:53:49"
15,"ด้านความประพฤติ/เกเร","เกเร",37,"2016-05-28 07:48:18","2016-05-28 11:53:45"
16,"ด้านพฤติกรรมสมาธิสั้น","สมาธิสั้น",37,"2016-05-28 07:48:51","2016-05-28 11:53:42"
17,"ด้านความสัมพันธ์กับเพื่อน","เพื่อน",37,"2016-05-28 07:49:12","2016-05-28 11:53:37"
18,"ด้านสัมพันธภาพทางสังคม","สังคม",37,"2016-05-28 07:49:23","2016-05-28 11:53:32"
