"id","label","name","description","note","value","type","enabled","questionID","parentID","created_at","updated_at"
695,"ก.","Never","","",1,0,1,312,NULL,"2016-09-11 09:10:31","2016-09-11 09:10:31"
696,"ก.","Sometimes","","",2,0,1,312,NULL,"2016-09-11 09:10:31","2016-09-11 09:10:31"
697,"ก.","Often","","",3,0,1,312,NULL,"2016-09-11 09:10:31","2016-09-11 09:10:31"
698,"ก.","Always","","",4,0,1,312,NULL,"2016-09-11 09:10:31","2016-09-11 09:10:31"
699,"ก.","Never","","",4,0,1,313,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
700,"ก.","Sometimes","","",3,0,1,313,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
701,"ก.","Often","","",2,0,1,313,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
702,"ก.","Always","","",1,0,1,313,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
703,"ก.","Never","","",4,0,1,314,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
704,"ก.","Sometimes","","",3,0,1,314,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
705,"ก.","Often","","",2,0,1,314,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
706,"ก.","Always","","",1,0,1,314,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
707,"ก.","Never","","",1,0,1,315,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
708,"ก.","Sometimes","","",2,0,1,315,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
709,"ก.","Often","","",3,0,1,315,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
710,"ก.","Always","","",4,0,1,315,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
711,"ก.","Never","","",4,0,1,316,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
712,"ก.","Sometimes","","",3,0,1,316,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
713,"ก.","Often","","",2,0,1,316,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
714,"ก.","Always","","",1,0,1,316,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
715,"ก.","Never","","",1,0,1,317,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
716,"ก.","Sometimes","","",2,0,1,317,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
717,"ก.","Often","","",3,0,1,317,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
718,"ก.","Always","","",4,0,1,317,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
719,"ก.","Never","","",1,0,1,318,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
720,"ก.","Sometimes","","",2,0,1,318,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
721,"ก.","Often","","",3,0,1,318,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
722,"ก.","Always","","",4,0,1,318,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
723,"ก.","Never","","",4,0,1,319,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
724,"ก.","Sometimes","","",3,0,1,319,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
725,"ก.","Often","","",2,0,1,319,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
726,"ก.","Always","","",1,0,1,319,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
727,"ก.","Never","","",4,0,1,320,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
728,"ก.","Sometimes","","",3,0,1,320,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
729,"ก.","Often","","",2,0,1,320,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
730,"ก.","Always","","",1,0,1,320,NULL,"2016-09-11 09:21:31","2016-09-11 09:21:31"
731,"ก.","Never","","",1,0,1,321,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
732,"ก.","Sometimes","","",2,0,1,321,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
733,"ก.","Often","","",3,0,1,321,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
734,"ก.","Always","","",4,0,1,321,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
735,"ก.","Never","","",4,0,1,322,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
736,"ก.","Sometimes","","",3,0,1,322,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
737,"ก.","Often","","",2,0,1,322,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
738,"ก.","Always","","",1,0,1,322,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
739,"ก.","Never","","",1,0,1,323,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
740,"ก.","Sometimes","","",2,0,1,323,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
741,"ก.","Often","","",3,0,1,323,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
742,"ก.","Always","","",4,0,1,323,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
743,"ก.","Never","","",4,0,1,324,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
744,"ก.","Sometimes","","",3,0,1,324,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
745,"ก.","Often","","",2,0,1,324,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
746,"ก.","Always","","",1,0,1,324,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
747,"ก.","Never","","",1,0,1,325,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
748,"ก.","Sometimes","","",2,0,1,325,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
749,"ก.","Often","","",3,0,1,325,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
750,"ก.","Always","","",4,0,1,325,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
751,"ก.","Never","","",1,0,1,326,NULL,"2016-09-11 09:36:44","2016-09-11 09:36:44"
