"id","label","from","to","questionaireID","groupID","created_at","updated_at"
91,"ต่ำกว่าปกติ",0,139,38,NULL,"2016-09-11 09:10:31","2016-09-11 09:10:31"
92,"ปกติ",140,169,38,NULL,"2016-09-11 09:10:31","2016-09-11 09:10:31"
93,"สูงกว่าปกติ",170,600,38,NULL,"2016-09-11 09:10:31","2016-09-11 09:10:31"
95,"ต่ำกว่าปกติ",0,12,38,54,"2016-09-11 10:35:38","2016-09-11 10:35:38"
96,"ปกติ",13,17,38,54,"2016-09-11 10:35:46","2016-09-11 10:35:46"
98,"ต่ำกว่าปกติ",0,15,38,55,"2016-09-11 10:36:10","2016-09-11 10:36:10"
99,"ปกติ",16,20,38,55,"2016-09-11 10:36:20","2016-09-11 10:36:20"
101,"สูงกว่าปกติ",21,100,38,55,"2016-09-11 10:36:53","2016-09-11 10:36:53"
102,"สูงกว่าปกติ",18,100,38,54,"2016-09-11 10:37:09","2016-09-11 10:37:09"
103,"ต่ำกว่าปกติ",0,14,38,63,"2016-09-11 10:37:23","2016-09-11 10:37:23"
104,"ปกติ",15,21,38,63,"2016-09-11 10:37:32","2016-09-11 10:37:32"
105,"สูงกว่าปกติ",22,100,38,63,"2016-09-11 10:38:02","2016-09-11 10:38:02"
106,"ต่ำกว่าปกติ",0,15,38,62,"2016-09-11 10:38:15","2016-09-11 10:38:15"
107,"ปกติ",16,22,38,62,"2016-09-11 10:38:20","2016-09-11 10:38:20"
108,"สูงกว่าปกติ",23,100,38,62,"2016-09-11 10:38:31","2016-09-11 10:38:31"
109,"ต่ำกว่าปกติ",0,8,38,61,"2016-09-11 10:38:51","2016-09-11 10:38:51"
111,"สูงกว่าปกติ",14,100,38,61,"2016-09-11 10:39:11","2016-09-11 10:39:11"
112,"ต่ำกว่าปกติ",0,13,38,60,"2016-09-11 10:39:36","2016-09-11 10:39:36"
113,"ปกติ",9,13,38,61,"2016-09-11 10:40:02","2016-09-11 10:40:02"
114,"ปกติ",14,20,38,60,"2016-09-11 10:40:18","2016-09-11 10:40:18"
115,"สูงกว่าปกติ",21,100,38,60,"2016-09-11 10:40:31","2016-09-11 10:40:31"
116,"ต่ำกว่าปกติ",0,12,38,58,"2016-09-11 10:40:54","2016-09-11 10:40:54"
117,"ปกติ",13,19,38,58,"2016-09-11 10:41:03","2016-09-11 10:41:03"
118,"สูงกว่าปกติ",20,100,38,58,"2016-09-11 10:41:13","2016-09-11 10:41:13"
119,"ต่ำกว่าปกติ",0,13,38,57,"2016-09-11 10:41:24","2016-09-11 10:41:24"
120,"ปกติ",14,20,38,57,"2016-09-11 10:41:31","2016-09-11 10:41:31"
121,"สูงกว่าปกติ",21,100,38,57,"2016-09-11 10:41:37","2016-09-11 10:41:37"
122,"ต่ำกว่าปกติ",0,15,38,56,"2016-09-11 10:42:00","2016-09-11 10:42:00"
123,"ปกติ",16,22,38,56,"2016-09-11 10:42:06","2016-09-11 10:42:06"
124,"สูงกว่าปกติ",23,100,38,56,"2016-09-11 10:42:11","2016-09-11 10:42:11"
