"id","name","label","alias","questionaireID","created_at","updated_at","parentID"
54,"ควบคุมอารมณ์","อารมณ์","alias_not_set",38,"2016-09-11 10:13:48","2016-09-11 10:14:58",64
55,"เห็นใจผู้อื่น","เห็นใจ","alias_not_set",38,"2016-09-11 10:13:52","2016-09-11 10:14:57",64
56,"รับผิดชอบ","รับผิดชอบ","alias_not_set",38,"2016-09-11 10:13:55","2016-09-11 10:14:48",64
57,"มีแรงจูงใจ","แรงจูงใจ","alias_not_set",38,"2016-09-11 10:13:59","2016-09-11 10:14:56",65
58,"ตัดสินใจและแก้ปัญหา","การตัดสินใจ","alias_not_set",38,"2016-09-11 10:14:05","2016-09-11 10:15:06",65
60,"สัมพันธ์ภาพกับผู้อื่น","สัมพันธ์ภาพ","alias_not_set",38,"2016-09-11 10:14:18","2016-09-11 10:15:13",65
61,"ภูมิใจตนเอง","ภูมิใจ","alias_not_set",38,"2016-09-11 10:14:26","2016-09-11 10:15:17",66
62,"พึงพอใจใจชีวิต","พอใจ","alias_not_set",38,"2016-09-11 10:14:30","2016-09-11 10:15:19",66
63,"สุขสงบทางใจ","สุขใจ","alias_not_set",38,"2016-09-11 10:14:36","2016-09-11 10:15:24",66
64,"ดี","good","alias_not_set",38,"1990-01-01 00:00:00","1990-01-01 00:00:00",NULL
65,"เก่ง","skilled","alias_not_set",38,"1990-01-01 00:00:00","1990-01-01 00:00:00",NULL
66,"สุข","happy","alias_not_set",38,"1990-01-01 00:00:00","1990-01-01 00:00:00",NULL
