"id","order","label","name","description","type","questionaireID","groupID","created_at","updated_at"
216,1,1.,"ห่วงใยความรู้สึกของคนอื่น","",0,36,12,"2016-05-22 11:08:41","2016-08-13 07:22:01"
217,2,2.,"อยู่ไม่นิ่ง นั่งนานๆ ไม่ได้","",0,36,10,"2016-05-23 16:11:21","2016-08-13 08:06:03"
218,3,3.,"มักจะบ่นว่าปวดศรีษะ ปวดท้อง หรือไม่สบายบ่อยๆ","",0,36,7,"2016-05-23 16:11:21","2016-08-13 08:06:03"
219,4,4.,"เต็มใจแบ่งปันสิ่งของให้คนอื่น (ขนม, ของเล่น, ดินสอ เป็นต้น)","",0,36,12,"2016-05-23 16:11:21","2016-08-13 08:06:03"
220,5,5.,"มักจะอาละวาดหรือโมโหร้าย","",0,36,9,"2016-05-23 16:11:21","2016-08-13 08:06:03"
221,6,6.,"ค่อนข้างแยกตัว ชอบเล่นคนเดียว","",0,36,11,"2016-05-23 16:11:21","2016-08-13 08:06:03"
222,7,7.,"เชื่อฟัง มักจะทำตามที่ผู้ใหญ่ต้องการ","",0,36,9,"2016-05-23 16:11:21","2016-08-13 08:06:03"
223,8,8.,"กังวลใจหลายเรื่อง ดูวิตกกังวลเสมอ","",0,36,7,"2016-05-23 16:11:21","2016-08-13 08:06:03"
224,9,9.,"เป็นที่พึ่งได้เวลาที่คนอื่นเสียใจ อารมณ์ไม่ดี หรือไม่สบายใจ","",0,36,12,"2016-05-23 16:11:21","2016-08-13 08:06:03"
225,10,10.,"อยู่ไม่สุข วุ่นวายอย่างมาก","",0,36,10,"2016-05-23 16:11:21","2016-08-13 08:06:03"
226,11,11.,"มีเพื่อนสนิท","",0,36,11,"2016-05-23 16:11:21","2016-08-13 08:06:03"
227,12,12.,"มักมีเรื่องทะเลาะวิวาทกับเด็อื่น หรือรังแกเด็กอื่น","",0,36,9,"2016-05-23 16:11:21","2016-08-13 08:06:03"
228,13,13.,"ดูไม่มีความสุข หรือร้องไห้บ่อย","",0,36,7,"2016-05-23 16:11:21","2016-08-13 08:06:03"
229,14,14.,"เป็นที่ชื่นชอบของเพื่อน","",0,36,11,"2016-05-23 16:11:21","2016-08-13 08:06:03"
230,15,15.,"วอกแวกง่าย สมาธิสั้น","",0,36,10,"2016-05-23 16:11:21","2016-08-13 08:06:03"
231,16,16.,"เตรียดไม่ยอมห่างเวลาอยู่ในสถานการณ์ที่ไม่คุ้น และขาดความเชื่อมั่นใจตนเอง","",0,36,7,"2016-05-23 16:11:21","2016-08-13 08:06:03"
232,17,17.,"ใจดีกับเด็กที่เล็กกว่า","",0,36,12,"2016-05-23 16:11:21","2016-08-13 08:06:03"
233,18,18.,"ชอบโกหกหรือขี้โกง","",0,36,9,"2016-05-23 16:11:21","2016-08-13 08:06:03"
234,19,19.,"ถูกเด็กคนอื่นล้อเลียนหรือรังแก","",0,36,11,"2016-05-23 16:11:21","2016-08-13 08:06:03"
235,20,20.,"ชอบอาสาช่วยเหลือคนอื่น (พ่อ, แม่, ครู, เด็กคนอื่น)","",0,36,12,"2016-05-23 16:11:21","2016-08-13 08:06:03"
236,21,21.,"คิดก่อนทำ","",0,36,10,"2016-05-23 16:11:21","2016-08-13 08:06:03"
237,22,22.,"ขโมยของที่บ้าน ที่โรงเรียน หรือที่อื่นๆ","",0,36,9,"2016-05-23 16:11:21","2016-08-13 08:06:03"
238,23,23.,"เข้ากับผู้ใหญ่ได้ดีกว่าเด็กวัยเดียวกัน","",0,36,11,"2016-05-23 16:11:21","2016-08-13 08:06:03"
239,24,24.,"ขี้กลัว รู้สึกหวาดกลัวได้ง่าย","",0,36,7,"2016-05-23 16:11:21","2016-08-13 08:06:03"
240,25,25.,"ทำงานได้จนสำเร็จ ความตั้งใจในการทำงาน","",0,36,10,"2016-05-23 16:11:21","2016-08-13 08:06:03"
241,26,"","คุณมีความเห็นหรือความกังวลอื่นอีกหรือไม่","",1,36,NULL,"2016-05-23 16:41:44","2016-08-13 08:08:29"
242,27,"","โดยรวมแล้วคุณคิดว่า เด็กมีปัญหาในด้านใดด้านหนึ่งต่อไปนี้หรือไม่ ด้านอารมณ์ ด้านสมาธิ ด้านพฤติกรรม หรือความสามารถเข้ากับผู้อื่น","",10,36,NULL,"2016-05-23 17:30:19","2016-08-13 08:08:29"
243,28,"","ถ้าตอบว่า ``ไม่`` ไม่ต้องตอบคำถามข้อต่อไป","",2,36,NULL,"2016-05-23 17:30:19","2016-05-23 17:30:19"
244,29,"","ถ้าตอบว่า ``ใช่`` กรุณาตอบคำถามข้อต่อไปนี้","",2,36,NULL,"2016-05-23 17:30:19","2016-05-23 17:30:19"
245,30,"","ปัญหานี้เกิดขึ้นมานานเท่าไหร่แล้ว","",3,36,NULL,"2016-05-23 17:30:19","2016-05-23 17:36:44"
246,31,"","ปัญหานี้ทำให้นักเรียนรู้สึกไม่สบายใจหรือไม่","",10,36,NULL,"2016-05-23 17:36:44","2016-05-23 17:42:12"
247,32,"","ปัญหานี้รบกวนชีวิตประจำวันเด็กในด้านต่างๆ ต่อไปนี้หรือไม่","",4,36,NULL,"2016-05-23 17:36:44","2016-08-13 10:21:34"
248,33,"","ปัญหาของเด็กทำให้คุณหรือชั้นเรียนเกิดความยุ่งยากหรือไม่ (ครอบครัว เพื่อน ครู เป็นต้น)","",10,36,NULL,"2016-05-23 17:42:12","2016-08-13 08:08:29"
279,1,1.,"ห่วงใยความรู้สึกของคนอื่น","",0,37,18,"2016-05-22 11:08:41","2016-08-13 08:13:49"
280,2,2.,"อยู่ไม่นิ่งนั่งนิ่งๆ ไม่ได้","",0,37,16,"2016-05-23 16:11:21","2016-08-13 08:13:49"
281,3,3.,"มักจะบ่นว่าปวดศรีษะ ปวดท้อง หรือไม่สบาย","",0,37,13,"2016-05-23 16:11:21","2016-08-13 08:13:49"
282,4,4.,"เต็มใจแบ่งปันสิ่งของให้คนอื่น (ขนม, ของเล่น, ดินสอ เป็นต้น)","",0,37,18,"2016-05-23 16:11:21","2016-08-13 08:13:49"
